simulation_index,goal_1_final,goal_2_final,goal_3_final
0,5535.053569513003,834644201783.576,3.240198230221269e+18
1,24037243964.704525,371020874.97262615,1330180761656210.8
2,3404.0693055974143,31117522687354.777,38956858668.49157
3,4018585.8727006773,455087524690.69354,2.6440183023809837e+24
4,166962091968395.72,33021079034611.504,1.8328906435075548e+18
5,4316105.868746612,29664415260947.098,1151105112234138.8
6,1291.2208706950132,429385663.2133991,7.981523748648509e+16
7,203161420.9424024,13325807683.364492,5.82619829317498e+26
8,187991875.4754991,699267280.3233765,3567575150557529.0
9,4639193.141552522,690645705.0438285,8.705321249481205e+19
10,12714525.422773989,6.145522743191919e+16,1.986770636897066e+20
11,16706832363.29083,1562593994630.5325,7.679444860299313e+17
12,492133739.1845528,53930126322.25133,3.2996882288079828e+16
13,307224.94590770913,82742319052.79774,439074314.3009779
14,506182694.43932945,670304994307186.0,1.0463627572811127e+22
15,24369.420688050242,1.455646851360391e+16,4.050223342278285e+22
16,39078514.261333,4.230658061206039e+16,4.916119698321304e+17
17,861721523897.9954,616032160127.4176,56228931850621.12
18,13998427.220995763,2288231025000626.0,3323636604205.0796
19,18039267226.35256,5386460798268.469,2.820261670295834e+21
20,802963.8552861931,17640465188.56935,2.7151945305474386e+18
21,426388.13334619015,89468174214.63112,6.711953508866588e+17
22,155280044096.9553,9940731.344159726,8.949737586504372e+20
23,3204501249.1994653,972180543518158.0,2.0032017572734992e+20
24,331293575275.1366,43407720862.24192,1655499632771364.8
25,6996372.41826466,171780280545.77963,17186165.98009739
26,2846818.5933936895,312858.7022764659,4.4925883972097756e+18
27,1291347.7231871728,2015653865600756.8,1.1815791447300123e+21
28,2753562217.936509,9990780.519597229,2.803259873009328e+18
29,759442.5940950833,169385540420482.03,1.0853030790410412e+20
30,5504600781.0052,86189548951042.84,1324526461129397.8
31,235376.64855872848,226605202404.42804,7586996192943633.0
32,5136384.650124797,9119659.507140752,2.2456813732001346e+22
33,3477563.56280146,1.4911031740049974e+18,3.601071208511562e+20
34,112387488.26914117,663003997985.4436,7.104305921370194e+22
35,20975499.548843816,2.6475154032558637e+17,68147134194453.766
36,9574195.679797865,297710652132319.56,3.6978256532583654e+17
37,16697.475783349943,5620584312389.263,123947002194539.0
38,81228.33912963614,5364050.019928306,7640927396110855.0
39,16276228.071714835,5679417268471.272,48037153002942.35
40,3660059844.6599827,3914722163213935.0,4.3232846181763696e+24
41,19323653.404462274,407864515.6305373,2.6333390982848724e+25
42,6435.870757727224,864920467.6463152,2137950940001010.5
43,43877217.27967285,140562465783698.47,3.815986642333743e+19
44,259411713.10269305,36984647.3585655,3060927963295.0244
45,100953.79480237985,1103987657853201.0,1.0738523617419681e+21
46,131465427.93195057,939795808.9474249,207168807367.0624
47,2375679.104889535,53346856.31514614,3.0289397861698147e+23
48,17639032824.617958,284841517.8739189,1.1349691004294858e+22
49,812560.4076248574,1282514336129.104,6.192499561541156e+20
50,284075323754.2981,1008289.2536089947,8.050055844651448e+22
51,5328109.250798662,558901493234.7021,2400668093632503.5
52,2151683725.918027,105549345243.94785,2.2893604050253447e+21
53,267682804.27899128,1617479408001139.8,1.0136159044830777e+21
54,192942.1273109466,11326175.79785864,155093242584341.06
55,138595.2766502213,4671673149793.789,46239063574433.31
56,34874582.02544883,665882053022391.4,106951212185234.27
57,51779030600.902336,813898.3594685222,2.9925137855417277e+18
58,2248160.6533984384,23643235098935.42,996730182238412.9
59,7347.493984618801,457917568724352.56,3.240353374575938e+21
60,1522532010.7532704,742414940.7569685,1.4017032635937804e+23
61,805298.4528180372,190293281.44754922,5037519183986454.0
62,89672817.05588545,60844271096.79874,1036730387187282.5
63,12428196.86874443,8947163204.1667,489765927853.6943
64,17627517.924358945,1.2892906975812662e+17,3.108912457128104e+22
65,14788477.617477445,2875499586.9382253,5.885700664106049e+17
66,34013445.527339675,235139653490553.12,6.919786130683305e+26
67,3689480006.064947,9332760803.05452,2.4596432151171186e+23
68,968901109024.6697,45601418336.11684,2.9408041748987108e+16
69,381800112.2059703,72238479246.18034,1.579852748350884e+20
70,2923881.6427695886,16768682583.245234,4098860806560.9233
71,392560.47430019116,108803532964.3221,7.124609718403095e+18
72,6694054984.865437,321357.37146502757,3048935251009.094
73,77146876764753.1,53050764792.14748,20947357421916.97
74,122562923.97611062,43508681.66773405,1.7030179746494218e+16
75,62273.198423145404,49668200746.38396,1.3657064594737467e+17
76,23365102.99313002,250278592.1254028,437491295354613.1
77,13353672.356117506,2622665035.083924,23701335554083.113
78,963059.7659253484,373083.3110750455,3102527445221216.5
79,97951228.01009184,19577396575.244606,4.0993490225194204e+18
80,450330704784.42834,763436758369.5005,6.570096051193074e+18
81,1214534880.6060283,4.0873905696193606e+17,2.2403249725216548e+18
82,241685.6586366085,23332816841064.242,1.6742930269187192e+18
83,210991798.4996584,9233641.04518473,1.8371002225125296e+24
84,11337.378702941447,6374911778.525681,9.956418482235442e+17
85,5865184780.806036,567207947.4665964,129610400193.87944
86,192908.17022505263,11262337025.65299,1688684365.1951215
87,618411.4637799112,1.1259990410118512e+17,2.7545644259846174e+23
88,58712504.444530204,34598264597214.414,5.698735451674306e+21
89,1522249247.0123365,215213350249.69525,9.696848933274714e+19
90,407181516929.27356,26519125564772.277,80270604624.88171
91,91235.73241964755,1862039554945.6594,1280815149217352.8
92,9663954389.605818,34907838117.59604,2.7914924936992426e+17
93,157255656.6189993,144753013.0669111,6701593448284165.0
94,49399700450.56259,337516967930.1641,11483724943225.717
95,574.8155093782708,106350516714.21191,2.5702607095388422e+20
96,1001429559.8587178,114565071.84371549,2.7544058570649274e+17
97,941302003.6729037,154981347023600.47,9.11910901842075e+17
98,64720673.40838559,137737130411692.53,1.2563971067903534e+17
99,1135775128.1339748,224079449138244.62,8.302477628484605e+23
100,983159970393.6973,5204483437.03852,1.5153420002336841e+21
101,1552562430.9560199,2811886985.3349853,5567860047.86167
102,381334417.3802045,22722919656090.605,836596867085022.1
103,294577244.7358174,76787796.11057508,996692342482454.0
104,4053112738.4350734,29102273512.702003,2.2049966732207668e+16
105,98188917756.1622,4731998878.993282,1.8918865840497164e+19
106,1343661.6578102603,337661961707229.8,2745234543745247.5
107,26836858030.46487,723764354508.0018,1.1183344001988216e+16
108,8331388535.668923,6600566712619326.0,1.75064848925414e+21
109,2313000.365078148,5254889399.095346,4.2200635581261695e+23
110,23402443213.94587,96610164477.17618,7270999233572524.0
111,38987147.68249219,157586633919.3773,3.799104447022721e+29
112,533531770675.3588,354015013.8757075,7327479979762584.0
113,97564.23956506855,601420726.1942868,2995959908042.1963
114,176044.8896177776,57885959890623.12,5391385355492495.0
115,172187645.70358694,342894267139202.06,3.621151879945478e+17
116,2684373633.3429875,4253141909680.449,1.2651856502179538e+18
117,192843.75500765062,2218862913429.624,3.843406077162303e+18
118,247397111.48161697,5522528892.581711,4.502222928410448e+16
119,12059.564976222166,264082645715858.62,1.1496027063157213e+25
120,131999351.52611019,1252975974533.439,6.656606127932822e+17
121,2217921363.4372463,250960935.67794305,1.6057103662930516e+16
122,429659.2329839488,30793032563.884632,619591347.4616745
123,952090.4409178417,644375196.8746383,1.528459440641873e+21
124,408170.5873202011,18036591.686562948,3.5444614554954865e+21
125,75421551683.68083,3919885248356.814,2000089348914529.0
126,269600.1428792951,2600963762049.5337,6.137814808756535e+17
127,38883848.732595354,687146767486.3066,1.0023167298980174e+21
128,15649217.09182356,3221781958548.846,742152404457968.6
129,147684363.93753085,3476984907633.9834,6.177163942328237e+20
130,3190171.0860942327,2259711059.385435,1.1104331461186077e+19
131,505149674.1279024,240762448125.525,1.0997630090247976e+16
132,1742993829.3001182,56570300147215.695,3.035714439357011e+18
133,79152116750.4226,551901482351.8894,5.854794598939143e+20
134,566044.5622987067,234187850256924.97,2.4795092972312242e+20
135,736128722.8779031,2.416330654155268e+18,3.366235636427279e+17
136,12370374.432815569,762340036.1431247,6291865045801872.0
137,545017.8453947215,19699.698638924405,120883795449603.39
138,127727197503.09023,1110036188.586125,2.07393422380912e+22
139,11087140.673403054,1419177777082.1936,2.068839207418349e+23
140,741834997.143853,578447947840.7222,1.1395930444963198e+17
141,5011788.081814828,100377446679.44806,1.8495599908362408e+19
142,410530133.6677839,263663950.31735688,1.948751824765318e+18
143,3027.1738664516843,63741506056.90443,40253050130284.37
144,409343582.6456473,16518882524.684132,1.2617519520222072e+20
145,29172904.15145871,1.2684563243682594e+16,145560814102.31735
146,2860691898.836575,69755373.86269274,122362851.51843664
147,517649240.17673504,25621850667178.215,83410136.52941497
148,5817597279.5510645,17931215265208.973,7.89875816632615e+23
149,1638504660.3841317,1267935380518.896,1.5019852061758799e+24
150,1181672.775674637,288522158.7979259,78407419804.97739
151,3609854183.722152,68373014.97678374,4.061110402264781e+20
152,2086319.8274264093,3.40433971738636e+17,1.3772545474495442e+24
153,32803947.524044022,70068539126.08138,2.08206415196598e+23
154,22809719.681767195,227514286800102.4,5.604482681681798e+16
155,3017309.9532784577,60762095600404.51,1.7699304771951777e+25
156,743.4224050200752,12933923302960.367,5.336835494194049e+19
157,192971011.61616063,144039425.1224787,8069112565543.0
158,7260919.044383677,6639681.678302195,116563510656018.44
159,2964296.851377309,815037067.5277038,2696318860530.894
160,116458.20712084287,584582987.6642913,1.0092241290662094e+16
161,12025635422.27674,51429958610179.14,4.678051652398461e+18
162,14390.180946847837,24436199310805.562,6.985211910729704e+19
163,435920.72679612675,571422955207.6665,3.140323475154488e+19
164,8990170.190559702,3168935463880.263,252741753310855.66
165,157217310.05357325,58674200.698938474,1.220592665283092e+21
166,1110028438.4817045,13469276880943.887,2924289540466559.5
167,206229056127.19724,5406001914396.217,1.057224444811613e+25
168,279021807.18843055,4795376265677.467,8.190647688002051e+18
169,1167555003999.19,72.8684909843135,1.2592087447861318e+19
170,116041.96420096658,56186.48553513651,8.388038467315229e+24
171,274584023.4628012,2264204220223.6685,1.5311237467315906e+23
172,27802302681.5482,1.029469994375915e+16,74702877802.42596
173,66727.9088649273,269513997819.5531,5221338782002137.0
174,98107024.64559725,12077776466.26452,6.069409645635378e+16
175,59675765667.83219,72478304733.52847,1.6271219135637965e+22
176,509531858.5138376,317967711629258.4,1042031.4491191509
177,101530615.0436155,682084854.7191501,3460659940.887499
178,229331.7466498382,24950311694.40234,1.865150793473076e+20
179,1014779330.2822185,141598125798.28305,4.344839475233561e+19
180,32808694.101291437,7116712108479.428,1.5366793307155716e+21
181,10218500.251063904,3173335052879.2812,5.70300731673594e+22
182,10589295196.445883,2410203526003.0864,7.5333942155202e+18
183,5434187.756594721,1.6323667746974708e+16,1.7895115411949175e+24
184,13664022162.441608,177603194959.1783,1.4439058111001199e+19
185,12854.273782856862,117794137168844.28,1.5503204209578077e+21
186,812417412.7809376,4299773856039019.0,3.077747193749335e+25
